lon,lat,vs30,z1pt0,z2pt5,vs30measured
90.27000,22.14650,2.150000E+02,5.048482E+02,2.572788E+00,0
90.05720,22.27230,2.170000E+02,5.041779E+02,2.545679E+00,0
90.10160,22.12680,2.170000E+02,5.041779E+02,2.545679E+00,0
90.14930,22.34810,2.260000E+02,5.009439E+02,2.430041E+00,0
89.95940,22.08960,2.050000E+02,5.079474E+02,2.716859E+00,0
90.10050,21.96750,2.170000E+02,5.041779E+02,2.545679E+00,0
90.14040,22.96760,2.350000E+02,4.973381E+02,2.323871E+00,0
90.31270,22.82460,2.300000E+02,4.993884E+02,2.381754E+00,0
90.39000,22.55470,2.210000E+02,5.027852E+02,2.493038E+00,0
90.12910,22.81110,2.240000E+02,5.016940E+02,2.454878E+00,0
90.24280,22.96980,2.250000E+02,5.013212E+02,2.442400E+00,0
90.55180,22.96280,2.070000E+02,5.073603E+02,2.686851E+00,0
90.40960,22.71480,2.660000E+02,4.818196E+02,2.016736E+00,0
90.51900,22.81590,2.860000E+02,4.690580E+02,1.856226E+00,0
90.37590,22.95510,2.570000E+02,4.868425E+02,2.097732E+00,0
90.16490,22.86570,2.370000E+02,4.964844E+02,2.301450E+00,0
90.34230,22.70200,2.410000E+02,4.947182E+02,2.257803E+00,0
90.63050,22.70720,2.270000E+02,5.005620E+02,2.417798E+00,0
90.71530,22.48540,2.310000E+02,4.989878E+02,2.369963E+00,0
90.72450,22.04480,6.000000E+02,1.258340E+02,7.952589E-01,0
90.74540,22.64200,6.000000E+02,1.258340E+02,7.952589E-01,0
90.77130,22.30230,2.060000E+02,5.076559E+02,2.701777E+00,0
90.94300,22.22210,6.000000E+02,1.258340E+02,7.952589E-01,0
90.85980,22.45250,2.910000E+02,4.655151E+02,1.819785E+00,0
90.19270,22.67970,2.030000E+02,5.085185E+02,2.747503E+00,0
90.10200,22.41940,2.060000E+02,5.076559E+02,2.701777E+00,0
90.27140,22.60100,2.250000E+02,5.013212E+02,2.442400E+00,0
90.13090,22.54960,2.100000E+02,5.064494E+02,2.642985E+00,0
90.01970,22.45180,2.240000E+02,5.016940E+02,2.454878E+00,0
90.05720,22.60620,2.370000E+02,4.964844E+02,2.301450E+00,0
89.94920,22.28290,2.350000E+02,4.973381E+02,2.323871E+00,0
89.97480,22.76990,2.250000E+02,5.013212E+02,2.442400E+00,0
89.97930,22.60920,2.310000E+02,4.989878E+02,2.369963E+00,0
