taxonomy,conversion,weight
CR/LDUAL+DUL/HBET:13-/COM12,CR/LDUAL+CDL+DUM/H12/COM,1
CR/LDUAL+DUL/HBET:13-/COM3,CR/LDUAL+CDL+DUM/H12/COM,1
CR/LDUAL+DUL/HBET:6-12/COM12,CR/LDUAL+CDL+DUM/H9/COM,1
CR/LDUAL+DUL/HBET:6-12/COM3,CR/LDUAL+CDL+DUM/H9/COM,1
CR/LDUAL+DUM/HBET:13-/COM12,CR/LDUAL+CDM+DUM/H12/COM,1
CR/LDUAL+DUM/HBET:13-/COM3,CR/LDUAL+CDM+DUM/H12/COM,1
CR/LDUAL+DUM/HBET:6-12/COM12,CR/LDUAL+CDM+DUM/H9/COM,1
CR/LDUAL+DUM/HBET:6-12/COM3,CR/LDUAL+CDM+DUM/H9/COM,1
CR/LFINF+DUL/H:1/COM1,CR/LFINF+CDL+DUM/H1/COM,1
CR/LFINF+DUL/H:1/COM12,CR/LFINF+CDL+DUM/H1/COM,1
CR/LFINF+DUL/H:1/COM3,CR/LFINF+CDL+DUM/H1/COM,1
CR/LFINF+DUL/H:1/COM5,CR/LFINF+CDL+DUM/H1/COM,1
CR/LFINF+DUL/H:2/COM1,CR/LFINF+CDL+DUM/H2/COM,1
CR/LFINF+DUL/H:2/COM12,CR/LFINF+CDL+DUM/H2/COM,1
CR/LFINF+DUL/H:2/COM3,CR/LFINF+CDL+DUM/H2/COM,1
CR/LFINF+DUL/H:2/COM5,CR/LFINF+CDL+DUM/H2/COM,1
CR/LFINF+DUL/HBET:3-5/COM1,CR/LFINF+CDM+DUL/H4/COM,1
CR/LFINF+DUL/HBET:3-5/COM12,CR/LFINF+CDM+DUL/H4/COM,1
CR/LFINF+DUL/HBET:3-5/COM3,CR/LFINF+CDM+DUL/H4/COM,1
CR/LFINF+DUL/HBET:3-5/COM5,CR/LFINF+CDM+DUL/H4/COM,1
CR/LFM+DUL/HBET:1-2/COM,CR/LFINF+CDL+DUM/H1/COM,1
CR/LFM+DUL/HBET:1-2/COM11,CR/LFINF+CDL+DUM/H1/COM,1
CR/LFM+DUL/HBET:1-2/COM2,CR/LFINF+CDL+DUM/H1/COM,1
CR/LFM+DUL/HBET:1-2/IND1,CR/LFINF+CDL+DUM/H1/IND,1
CR/LFM+DUL/HBET:1-2/IND2,CR/LFINF+CDL+DUM/H1/IND,1
CR/LFM+DUL/HBET:1-2/IND6,CR/LFINF+CDL+DUM/H1/IND,1
MUR/LWAL+DNO/H:1/COM,MUR+CLBRS/LWAL+DNO/H1/COM,1
MUR/LWAL+DNO/H:1/COM1,MUR+CLBRS/LWAL+DNO/H1/COM,1
MUR/LWAL+DNO/H:1/COM11,MUR+CLBRS/LWAL+DNO/H1/COM,1
